time,buy_price,sell_price,qty,buy_u,sell_u,pnl_u,duration_ms,status
1778490986070,80923.91,0.0,0.01235,999.4102885,0.0,0.0,11008,CANCELED
1778491006440,80927.82,0.0,0.01235,999.4585770000001,0.0,0.0,12887,CANCELED
1778491031936,80927.41,80936.31,0.01235,999.4535135,999.5634285,0.10991500000000087,44522,WIN
1778491049445,80931.55,0.0,0.01235,999.5046425,0.0,0.0,12837,CANCELED
1778491059232,80939.42,80942.4,0.01235,999.6018369999999,999.6386399999999,0.036802999999963504,8844,WIN
1778491343403,80894.5,0.0,0.01236,999.85602,0.0,0.0,12762,CANCELED
1778491357304,80898.0,0.0,0.01236,999.89928,0.0,0.0,11824,CANCELED
1778491443361,80917.59,0.0,0.01235,999.3322364999999,0.0,0.0,12442,CANCELED
1778491491608,80915.28,0.0,0.01235,999.303708,0.0,0.0,10928,CANCELED
1778491544473,80907.02,0.0,0.01235,999.2016970000001,0.0,0.0,12933,CANCELED
1778491559398,80918.43,0.0,0.01235,999.3426104999999,0.0,0.0,11922,CANCELED
1778491574253,80921.49,0.0,0.01235,999.3804015000001,0.0,0.0,11960,CANCELED
1778491618185,80917.95,0.0,0.01235,999.3366824999999,0.0,0.0,11557,CANCELED
1778491658718,80929.99,0.0,0.01235,999.4853765,0.0,0.0,11223,CANCELED
1778491773404,80915.28,0.0,0.00247,199.86074159999998,0.0,0.0,10921,CANCELED
1778491814308,80908.55,0.0,0.00247,199.8441185,0.0,0.0,10892,CANCELED
1778491939577,80895.57,0.0,0.00247,199.8120579,0.0,0.0,11923,CANCELED
1778491978138,80895.18,80887.43,0.00247,199.8110946,199.79195209999997,-0.01914250000001516,32465,LOSS
1778491991125,80888.02,0.0,0.00247,199.7934094,0.0,0.0,11773,CANCELED
1778492051917,80878.89,80884.62,0.00247,199.7708583,199.78501139999997,0.014153099999987262,13093,WIN
1778492072307,80886.31,0.0,0.00247,199.7891857,0.0,0.0,11192,CANCELED
1778492098605,80881.43,0.0,0.00247,199.7771321,0.0,0.0,11622,CANCELED
1778492640552,80914.31,0.0,0.00247,199.8583457,0.0,0.0,11023,CANCELED
1778492718489,80901.75,80905.66,0.00247,199.8273225,199.8369802,0.00965769999999111,7685,WIN
1778492743257,80894.82,0.0,0.00247,199.8102054,0.0,0.0,12031,CANCELED
1778492757381,80891.01,0.0,0.00247,199.80079469999998,0.0,0.0,11171,CANCELED
1778492771736,80910.44,0.0,0.00247,199.8487868,0.0,0.0,11135,CANCELED
1778492796897,80915.19,80916.05,0.00247,199.8605193,199.86264350000002,0.0021242000000256667,6923,WIN
C1778492956693-1,381502288,381503833,1778492956429,1778493011397,80971.01000000001,80967.73999999999,0.00246,199.18868460000002,199.18064039999996,0.0,-0.008044200000057344,54968,LOSS
C1778493244396-3,381509938,381510018,1778493244137,1778493250179,80944.68,80945.99,0.00247,199.9333596,199.93659530000002,0.0,0.003235700000033148,6042,WIN
C1778493359664-6,381513851,381513940,1778493359409,1778493362805,80919.19,80925.26000000001,0.00247,199.8703993,199.8853922,0.0,0.014992900000009968,3396,WIN
C1778493448315-2,381516956,381517024,1778493448315,1778493451663,80997.94,81001.0,0.0,0.0,0.0,0.0,0.0,3348,BREAK_EVEN
C1778493488084-5,381518495,381518577,1778493488084,1778493497269,80970.39,80972.11,0.0,0.0,0.0,0.0,0.0,9185,BREAK_EVEN
C1778493524362-8,381519361,0,1778493524362,1778493544819,80969.47,0.0,0.0,0.0,0.0,0.0,0.0,20457,OPEN_POSITION
